,Drink,Tags,Category,IBA,Alcoholic type,Glass type,Inuctions,DrinkThumb,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,,,
178348,Winter Paloma,Winter,Cocktail,,Alcoholic,Highball glass,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh Grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.,https://www.thecocktaildb.com/images/media/drink/u5f0pz1614007748.jpg,Tequila,Grapefruit juice,Lime juice,Agave Syrup,Pepper,,50 ml,215 ml,25 ml ,5 ml,0.8 gr,,,,
178326,White Wine Sangria,Spanish,Punch / Party Drink,,Alcoholic,Pitcher,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple brandy. Top to taste with soda water.",https://www.thecocktaildb.com/images/media/drink/hnuod91587851576.jpg,Soda Water,Lemon,White Wine,Strawberry juice,Apple,Apple brandy,25 ml,1,750 ml,30 ml,1,75 ml ,,,
16158,Whitecap Margarita,,Other / Unknown,,Alcoholic,Margarita glass,Place all ingredients in a blender and blend until smooth. This makes one drink.,https://www.thecocktaildb.com/images/media/drink/srpxxp1441209622.jpg,Ice,Tequila,Cream of coconut,Lime juice,,,30 ml,59 ml,7.5 ml,45 ml,,,,,
12474,Waikiki Beachcomber,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg,Triple sec,Gin,Pineapple juice,,,,22.14 ml,22.14 ml,15 ml,,,,,,
17219,Yellow Bird,"IBA,NewEra",Cocktail,New Era Drinks,Alcoholic,Cocktail glass,Shake and strain into a chilled cocktail glass,https://www.thecocktaildb.com/images/media/drink/2t9r6w1504374811.jpg,White Rum,Galliano,Triple sec,Lime juice,,,30 ml,15 ml,15 ml,15 ml,,,,,
15328,Zorro,,Coffee / Tea,,Alcoholic,Coffee mug,add all and pour black coffee and add whipped cream on top.,https://www.thecocktaildb.com/images/media/drink/kvvd4z1485621283.jpg,Sambuca,Baileys irish cream,White Creme de Menthe,,,,20 ml,20 ml,20 ml,,,,,,
14888,Zinger,,Soft Drink,,Alcoholic,Highball glass,Get a shot glass and pour in three shots of the schnapps. Do the same with the SurgeCola. Then down it like Scheetz would.,https://www.thecocktaildb.com/images/media/drink/iixv4l1485620014.jpg,Peachtree schnapps,Surge,,,,,100 ml,100 ml ,,,,,,,
15691,Zoksel,,Soft Drink,,Alcoholic,Pilsner glass,"No specific mixinGinstructions, just poor every ingredient in one glass. The Lemon goes with it.",https://www.thecocktaildb.com/images/media/drink/ft8ed01485620930.jpg,Beer,Root beer,Lemonade,Coca-Cola,7-Up,Creme de Cassis,29.5 ml,29.5 ml,29.5 ml,"29.5 ml
",29.5 ml,29.5 ml,,,
17241,Zombie,,Cocktail,,Alcoholic,Hurricane glass,"
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 29.5 ml of the syrup and 59 ml of fresh Grapefruit juice together.",https://www.thecocktaildb.com/images/media/drink/2en3jk1509557725.jpg,Rum,Gold rum,151 proof rum,Pernod,Grenadine,Lime juice,44.25 ml,44.25 ml,29.5 ml,5 ml,5 ml,5 ml,,,
15933,Zambeer,,Soft Drink,,Alcoholic,Collins glass,Mix sambuca with rootbeer and stir. Add ice,https://www.thecocktaildb.com/images/media/drink/bje5401485619578.jpg,Sambuca,Root beer,Ice,,,,44.25 ml, 295 ml,3,,,,,,
16963,Zorbatini,,Cocktail,,Alcoholic,Cocktail glass,Prepare like a Martini. Garnish with a green olive.,https://www.thecocktaildb.com/images/media/drink/wtkqgb1485621155.jpg,Vodka,Ouzo,,,,,36.8 ml ,7.38 ml,,,,,,,
15254,Zenmeister,,Ordinary Drink,,Alcoholic,Collins glass,Mix together and enjoy,https://www.thecocktaildb.com/images/media/drink/qyuvsu1479209462.jpg,Jägermeister,Root beer,,,,,14.75 ml,14.75 ml,,,,,,,
16942,Zipperhead,,Shot,,Alcoholic,Old-fashioned glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",https://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg,Chambord raspberry liqueur,Vodka,Soda Water,,,,25 ml,25 ml,15 ml,,,,,,
17027,Zima Blaster,,Ordinary Drink,,Alcoholic,Hurricane glass,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.",https://www.thecocktaildb.com/images/media/drink/1wifuv1485619797.jpg,Zima,Chambord raspberry liqueur,,,,,159 ml,88.5 ml,,,,,,,
14594,Zizi Coin-coin,,Punch / Party Drink,,Alcoholic,Margarita glass,"Pour 5cl of Cointreau on ice, add 2cl of fresh Lemon (or lime) juice, stir gently, and finally add slices of Lemon/lime in glass.",https://www.thecocktaildb.com/images/media/drink/0fbo2t1485620752.jpg,Cointreau,Lemon juice,Ice,Lemon,,,50 ml,20 ml,3,1,,,,,
15801,Zimadori Zinger,,Punch / Party Drink,,Alcoholic,Collins glass,Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/bw8gzx1485619920.jpg,Midori melon liqueur,Zima,,,,,59 ml,159 ml,,,,,,,
14065,Zippy's Revenge,,Cocktail,,Alcoholic,Old-fashioned glass,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,https://www.thecocktaildb.com/images/media/drink/1sqm7n1485620312.jpg,Amaretto,Rum,Kool-Aid,,,,59 ml,59 ml,118 ml ,,,,,,
14157,Ziemes Martini Apfelsaft,,Ordinary Drink,,Alcoholic,Collins glass,Serve without ice. At least the juice shold have room temperature.,https://www.thecocktaildb.com/images/media/drink/xnzr2p1485619687.jpg,Vermouth,Apple juice,,,,,40 ml,160 ml,,,,,,,
